2025-02-03 Monday,晚上8:15,TPE,晚上10:20,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 531,商務艙,"$14,267"
2025-02-03 Monday,晚上9:15,TPE,晚上11:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A321neo,CX 479,商務艙,"$14,267"
2025-02-03 Monday,晚上9:45,TPE,晚上11:45,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,HX 283,商務艙,無法提供價格資訊
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-02-04 Tuesday,上午8:05,TPE,上午10:10,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,JX 233,商務艙,"$11,770"
2025-02-04 Tuesday,下午2:30,TPE,下午4:30,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 915,商務艙,"$13,172"
2025-02-04 Tuesday,下午4:35,TPE,下午6:30,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 871,商務艙,"$13,287"
2025-02-04 Tuesday,上午11:55,TPE,下午1:55,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,HX 253,商務艙,無法提供價格資訊
2025-02-04 Tuesday,清晨7:15,TPE,上午9:15,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 601,商務艙,"$13,172"
2025-02-04 Tuesday,上午8:05,TPE,上午10:05,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 903,商務艙,"$13,172"
2025-02-04 Tuesday,上午10:50,TPE,中午12:55,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CI 909,商務艙,"$13,172"
2025-02-04 Tuesday,下午4:55,TPE,晚上7:00,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CI 919,商務艙,"$13,172"
2025-02-04 Tuesday,下午6:10,TPE,晚上8:10,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 923,商務艙,"$13,172"
2025-02-04 Tuesday,晚上9:10,TPE,晚上11:00,HKG,中華航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321neo,CI 921,商務艙,"$13,172"
2025-02-04 Tuesday,清晨7:00,TPE,上午9:00,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 891,商務艙,"$13,287"
2025-02-04 Tuesday,上午8:05,TPE,上午10:05,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 851,商務艙,"$13,287"
2025-02-04 Tuesday,上午9:50,TPE,上午11:50,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 867,商務艙,"$13,287"
2025-02-04 Tuesday,中午12:25,TPE,下午2:20,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 869,商務艙,"$13,287"
2025-02-04 Tuesday,下午2:25,TPE,下午4:25,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 855,商務艙,"$13,287"
2025-02-04 Tuesday,下午6:10,TPE,晚上8:05,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 857,商務艙,"$13,287"
2025-02-04 Tuesday,上午8:20,TPE,上午10:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A321neo,CX 407,商務艙,"$14,267"
2025-02-04 Tuesday,上午10:45,TPE,下午1:00,HKG,國泰航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,CX 489,商務艙,"$14,267"
2025-02-04 Tuesday,中午12:25,TPE,下午2:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 461,商務艙,"$14,267"
2025-02-04 Tuesday,下午1:20,TPE,下午3:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 495,商務艙,"$14,267"
2025-02-04 Tuesday,下午3:50,TPE,下午5:55,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 443,商務艙,"$14,267"
2025-02-04 Tuesday,下午5:00,TPE,晚上7:05,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 421,商務艙,"$14,267"
2025-02-04 Tuesday,下午6:35,TPE,晚上8:40,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 473,商務艙,"$14,267"
2025-02-04 Tuesday,晚上7:30,TPE,晚上9:35,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 565,商務艙,"$14,267"
2025-02-04 Tuesday,晚上7:40,TPE,晚上9:45,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 451,商務艙,"$14,267"
2025-02-04 Tuesday,晚上8:15,TPE,晚上10:20,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 531,商務艙,"$14,267"
2025-02-04 Tuesday,晚上9:15,TPE,晚上11:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A321neo,CX 479,商務艙,"$14,267"
2025-02-04 Tuesday,上午9:50,TPE,上午11:50,HKG,國泰航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CX 469,商務艙,"$15,747"
2025-02-04 Tuesday,下午4:30,TPE,下午6:30,HKG,星宇航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,JX 235,商務艙,"$16,317"
2025-02-04 Tuesday,晚上7:00,TPE,晚上8:50,HKG,長榮航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321neo,BR 809,商務艙,"$16,359"
2025-02-04 Tuesday,晚上9:45,TPE,晚上11:45,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,HX 283,商務艙,無法提供價格資訊
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-02-05 Wednesday,下午4:30,TPE,下午6:30,HKG,星宇航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,JX 235,商務艙,"$11,770"
2025-02-05 Wednesday,下午2:30,TPE,下午4:30,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,CI 915,商務艙,"$13,172"
2025-02-05 Wednesday,下午4:35,TPE,下午6:30,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A330-900neo,BR 871,商務艙,"$13,287"
2025-02-05 Wednesday,上午11:55,TPE,下午1:55,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,HX 253,商務艙,無法提供價格資訊
2025-02-05 Wednesday,上午8:05,TPE,上午10:10,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,JX 233,商務艙,"$11,770"
2025-02-05 Wednesday,清晨7:15,TPE,上午9:15,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,CI 601,商務艙,"$13,172"
2025-02-05 Wednesday,上午8:05,TPE,上午10:05,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,CI 903,商務艙,"$13,172"
2025-02-05 Wednesday,上午10:50,TPE,中午12:55,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CI 909,商務艙,"$13,172"
2025-02-05 Wednesday,下午4:55,TPE,晚上7:00,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CI 919,商務艙,"$13,172"
2025-02-05 Wednesday,下午6:10,TPE,晚上8:10,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,CI 923,商務艙,"$13,172"
2025-02-05 Wednesday,晚上9:10,TPE,晚上11:00,HKG,中華航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A330-900neo,CI 921,商務艙,"$13,172"
2025-02-05 Wednesday,清晨7:00,TPE,上午9:00,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,BR 891,商務艙,"$13,287"
2025-02-05 Wednesday,上午8:05,TPE,上午10:05,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,BR 851,商務艙,"$13,287"
2025-02-05 Wednesday,上午9:50,TPE,上午11:50,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,BR 867,商務艙,"$13,287"
2025-02-05 Wednesday,中午12:25,TPE,下午2:20,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A330-900neo,BR 869,商務艙,"$13,287"
2025-02-05 Wednesday,下午2:25,TPE,下午4:25,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,BR 855,商務艙,"$13,287"
2025-02-05 Wednesday,下午6:10,TPE,晚上8:05,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A330-900neo,BR 857,商務艙,"$13,287"
2025-02-05 Wednesday,上午8:20,TPE,上午10:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A330-900neo,CX 407,商務艙,"$14,267"
2025-02-05 Wednesday,上午10:45,TPE,下午1:00,HKG,國泰航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A330-900neo,CX 489,商務艙,"$14,267"
2025-02-05 Wednesday,中午12:25,TPE,下午2:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 461,商務艙,"$14,267"
2025-02-05 Wednesday,下午1:20,TPE,下午3:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 495,商務艙,"$14,267"
2025-02-05 Wednesday,下午3:50,TPE,下午5:55,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 443,商務艙,"$14,267"
2025-02-05 Wednesday,下午5:00,TPE,晚上7:05,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 421,商務艙,"$14,267"
2025-02-05 Wednesday,下午6:35,TPE,晚上8:40,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 473,商務艙,"$14,267"
2025-02-05 Wednesday,晚上7:30,TPE,晚上9:35,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 565,商務艙,"$14,267"
2025-02-05 Wednesday,晚上7:40,TPE,晚上9:45,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 451,商務艙,"$14,267"
2025-02-05 Wednesday,晚上8:15,TPE,晚上10:20,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,CX 531,商務艙,"$14,267"
2025-02-05 Wednesday,晚上9:15,TPE,晚上11:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A330-900neo,CX 479,商務艙,"$14,267"
2025-02-05 Wednesday,上午9:50,TPE,上午11:50,HKG,國泰航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,CX 469,商務艙,"$15,747"
2025-02-05 Wednesday,晚上9:45,TPE,晚上11:45,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,HX 283,商務艙,無法提供價格資訊
